vm(0,9).
vm(1,29).
vm(2,22).
vm(3,37).
vm(4,6).
vm(5,2).
vm(6,4).
vm(7,17).
vm(8,1).
vm(9,15).
vm(10,10).
vm(11,67).
vm(12,2).
vm(13,41).
vm(14,144).
vm(15,0).
vm(16,10).
vm(17,6).
vm(18,4).
vm(19,7).
vm(20,0).
vm(21,7).
vm(22,4).
vm(23,0).
vm(24,1).
vm(25,4).
vm(26,4).
vm(27,25).
vm(28,0).
vm(29,12).
vm(30,58).
vm(31,15).
vm(32,3).
vm(33,7).
vm(34,0).
vm(35,12).
vm(36,1).
vm(37,4).
vm(38,2).
vm(39,2).
vm(40,15).
vm(41,0).
vm(42,46).
vm(43,0).
vm(44,5).
vm(45,10).
vm(46,140).
vm(47,5).
vm(48,0).
vm(49,0).
